asset,market,year,month,block,hours_block,rated_mw,forward_hub,avg_generation_MW,predicted_price,predicted_revenue,P50,P75
Howling Gale,CAISO,2026,1,Peak,352,100.0,66.38,37.271115384615385,87.34134266700735,1145868.8596570203,1147384.9808015325,1039890.7090764043
Howling Gale,CAISO,2026,1,OffPeak,392,100.0,59.84,10.156842030629608,82.95770665964035,330294.6221319885,328669.2493149589,295538.2934728366
Howling Gale,CAISO,2026,2,Peak,320,100.0,66.38,48.795920138888896,46.82576695661808,731170.0431543547,734848.3891327484,660853.1021631783
Howling Gale,CAISO,2026,2,OffPeak,352,100.0,59.84,10.437446821821823,50.14634952074715,184236.7494638136,184751.12412928714,165380.8582816103
Howling Gale,CAISO,2026,3,Peak,352,100.0,47.9,54.644527540360876,37.774367945105475,726585.1963026064,726510.6184498856,652815.9381392973
Howling Gale,CAISO,2026,3,OffPeak,392,100.0,37.77,11.008962571822835,46.82573743981081,202077.0940221691,202788.90372668562,183745.23325103513
Howling Gale,CAISO,2026,4,Peak,352,100.0,47.59,63.917112179487184,33.2533043093586,748160.2240217242,752685.3525163585,677164.9248503152
Howling Gale,CAISO,2026,4,OffPeak,368,100.0,36.67,14.49873355263158,46.82569171280536,249840.06774268116,249134.43922177685,226642.73189580752
Howling Gale,CAISO,2026,5,Peak,336,100.0,49.0,70.05059615384614,25.91069755752573,609860.0963840054,605303.6953715903,541722.9448847205
Howling Gale,CAISO,2026,5,OffPeak,408,100.0,37.22,18.54545519001702,33.25309187982781,251611.03995784107,250106.79923080135,223557.9055046563
Howling Gale,CAISO,2026,6,Peak,352,100.0,52.13,72.90178525641026,39.12213185146207,1003929.7857629062,1008510.8656774352,904290.82259597
Howling Gale,CAISO,2026,6,OffPeak,368,100.0,39.89,16.39139254385965,40.16325803075483,242266.07598585275,245405.97869917162,221430.68887000156
Howling Gale,CAISO,2026,7,Peak,368,100.0,79.1,71.14072115384614,70.88334367959565,1855710.7248757475,1856371.7363466225,1675380.0432100918
Howling Gale,CAISO,2026,7,OffPeak,376,100.0,50.15,19.817505672149746,54.5570128998039,406525.15113662643,405471.4197688909,366131.5508643598
Howling Gale,CAISO,2026,8,Peak,336,100.0,112.37,65.95586419753086,80.56344622862042,1785380.2574966294,1790226.7442517825,1608981.8297833041
Howling Gale,CAISO,2026,8,OffPeak,408,100.0,66.49,12.899145299145298,60.80957327429209,320031.7406675995,318431.91697069025,288447.3585834846
Howling Gale,CAISO,2026,9,Peak,352,100.0,60.22,58.828711805555564,69.31758552844599,1435408.2202626842,1409886.1117204437,1276257.5669183899
Howling Gale,CAISO,2026,9,OffPeak,368,100.0,42.0,15.588789682539682,57.101914843140996,327575.10467328585,329419.2960832623,296585.01613524504
Howling Gale,CAISO,2026,10,Peak,352,100.0,44.56,50.89342355175688,51.69741752125687,926132.6153873526,933290.0088414949,837894.3620500513
Howling Gale,CAISO,2026,10,OffPeak,392,100.0,36.83,11.846258077965397,51.488721186322145,239099.88227681007,240058.08351054974,216741.54262396606
Howling Gale,CAISO,2026,11,Peak,336,100.0,45.37,40.63666666666666,54.557014437505224,744917.1105685412,746420.5875744652,674943.7354305713
Howling Gale,CAISO,2026,11,OffPeak,384,100.0,36.62,9.99595015576324,58.0879811268141,222967.51257313899,221415.4599511216,200207.94152629943
Howling Gale,CAISO,2026,12,Peak,368,100.0,51.64,31.465448717948718,114.18489536198796,1322179.460730726,1323588.2185111055,1197477.577117406
Howling Gale,CAISO,2026,12,OffPeak,376,100.0,41.75,7.342912176214785,112.43687523142913,310430.9016723437,309324.6219127364,277962.64314836275
Howling Gale,CAISO,2027,1,Peak,336,100.0,83.9,37.271115384615385,87.34134266700735,1093783.911490792,1091032.0593299852,983595.9891420108
Howling Gale,CAISO,2027,1,OffPeak,408,100.0,71.66,10.156842030629608,82.95770665964035,343776.03528023296,346959.42515088466,309951.6251956853
Howling Gale,CAISO,2027,2,Peak,320,100.0,79.46,48.795920138888896,46.82576695661808,731170.0431543547,733072.0834884716,649684.5465511366
Howling Gale,CAISO,2027,2,OffPeak,352,100.0,67.44,10.437446821821823,50.14634952074715,184236.7494638136,183279.4706484828,165710.75050587673
Howling Gale,CAISO,2027,3,Peak,368,100.0,46.26,54.644527540360876,37.774367945105475,759611.796134543,759939.5851516846,682411.2697561728
Howling Gale,CAISO,2027,3,OffPeak,376,100.0,35.8,11.008962571822835,46.82573743981081,193829.04936820304,194957.76315717163,175253.35075305286
Howling Gale,CAISO,2027,4,Peak,352,100.0,44.53,63.917112179487184,33.2533043093586,748160.2240217242,747741.0955880865,667499.3712356319
Howling Gale,CAISO,2027,4,OffPeak,368,100.0,32.47,14.49873355263158,46.82569171280536,249840.06774268116,250383.6013258543,224085.4114349932
Howling Gale,CAISO,2027,5,Peak,336,100.0,45.63,70.05059615384614,25.91069755752573,609860.0963840054,603763.0178337127,543992.8058242314
Howling Gale,CAISO,2027,5,OffPeak,408,100.0,38.31,18.54545519001702,33.25309187982781,251611.03995784107,253804.02538331482,228070.29100682077
Howling Gale,CAISO,2027,6,Peak,352,100.0,51.39,72.90178525641026,39.12213185146207,1003929.7857629062,995293.934641217,904921.432676986
Howling Gale,CAISO,2027,6,OffPeak,368,100.0,44.21,16.39139254385965,40.16325803075483,242266.07598585275,240827.02805261617,215474.77757257078
Howling Gale,CAISO,2027,7,Peak,352,100.0,77.52,71.14072115384614,70.88334367959565,1775027.6498811496,1782485.5078294547,1606648.3973861174
Howling Gale,CAISO,2027,7,OffPeak,392,100.0,58.43,19.817505672149746,54.5570128998039,423824.09373818495,422725.7424541428,379081.2369228031
Howling Gale,CAISO,2027,8,Peak,352,100.0,104.08,65.95586419753086,80.56344622862042,1870398.3649964689,1877238.0815028108,1690981.4743030404
Howling Gale,CAISO,2027,8,OffPeak,392,100.0,60.8,12.899145299145298,60.80957327429209,307481.4763276936,308351.6116068898,276670.6031254424
Howling Gale,CAISO,2027,9,Peak,352,100.0,56.94,58.828711805555564,69.31758552844599,1435408.2202626842,1438540.4170906553,1271482.164543655
Howling Gale,CAISO,2027,9,OffPeak,368,100.0,45.66,15.588789682539682,57.101914843140996,327575.10467328585,326716.95362674945,292827.96039630973
Howling Gale,CAISO,2027,10,Peak,336,100.0,44.31,50.89342355175688,51.69741752125687,884035.6783242912,879982.4943642349,787597.5341394295
Howling Gale,CAISO,2027,10,OffPeak,408,100.0,35.09,11.846258077965397,51.488721186322145,248859.0611452513,249722.5439627782,224532.34209862645
Howling Gale,CAISO,2027,11,Peak,352,100.0,43.53,40.63666666666666,54.557014437505224,780389.3539289479,780107.2803196195,701647.2580931669
Howling Gale,CAISO,2027,11,OffPeak,368,100.0,32.74,9.99595015576324,58.0879811268141,213677.19954925822,213067.94179315254,192581.21673839143
Howling Gale,CAISO,2027,12,Peak,368,100.0,50.65,31.465448717948718,114.18489536198796,1322179.460730726,1328677.8400177313,1200059.4412825718
Howling Gale,CAISO,2027,12,OffPeak,376,100.0,37.75,7.342912176214785,112.43687523142913,310430.9016723437,309984.01738259953,278058.3259335364
Howling Gale,CAISO,2028,1,Peak,336,100.0,83.84,37.271115384615385,87.34134266700735,1093783.911490792,1085622.6217353404,979591.955303391
Howling Gale,CAISO,2028,1,OffPeak,408,100.0,70.75,10.156842030629608,82.95770665964035,343776.03528023296,345448.3496907846,306726.7838901902
Howling Gale,CAISO,2028,2,Peak,336,100.0,81.57,48.795920138888896,46.82576695661808,767728.5453120724,761751.7604306953,687095.4980347316
Howling Gale,CAISO,2028,2,OffPeak,360,100.0,68.58,10.437446821821823,50.14634952074715,188423.9483152639,188902.07685369725,170524.51187019842
Howling Gale,CAISO,2028,3,Peak,368,100.0,49.16,54.644527540360876,37.774367945105475,759611.796134543,763887.237108984,689332.300822639
Howling Gale,CAISO,2028,3,OffPeak,376,100.0,40.51,11.008962571822835,46.82573743981081,193829.04936820304,192210.48588884887,175246.65137316022
Howling Gale,CAISO,2028,4,Peak,320,100.0,47.9,63.917112179487184,33.2533043093586,680145.6582015674,676135.4967604391,613633.6002956803
Howling Gale,CAISO,2028,4,OffPeak,400,100.0,32.74,14.49873355263158,46.82569171280536,271565.2910246534,270508.9588270417,242056.4565194143
Howling Gale,CAISO,2028,5,Peak,368,100.0,46.66,70.05059615384614,25.91069755752573,667942.0103253392,671384.7769171961,605710.7615709951
Howling Gale,CAISO,2028,5,OffPeak,376,100.0,33.94,18.54545519001702,33.25309187982781,231876.84074546138,232300.44865410624,208370.5448759994
Howling Gale,CAISO,2028,6,Peak,352,100.0,53.5,72.90178525641026,39.12213185146207,1003929.7857629062,1014442.3251176851,909344.7625389686
Howling Gale,CAISO,2028,6,OffPeak,368,100.0,39.59,16.39139254385965,40.16325803075483,242266.07598585275,242648.59641073464,219788.89776133094
Howling Gale,CAISO,2028,7,Peak,336,100.0,73.6,71.14072115384614,70.88334367959565,1694344.574886552,1685003.3313947124,1524099.5386788873
Howling Gale,CAISO,2028,7,OffPeak,408,100.0,50.28,19.817505672149746,54.5570128998039,441123.0363397435,443044.715613472,394559.97245676897
Howling Gale,CAISO,2028,8,Peak,368,100.0,97.57,65.95586419753086,80.56344622862042,1955416.4724963084,1938220.2712335852,1751891.3759423355
Howling Gale,CAISO,2028,8,OffPeak,376,100.0,56.06,12.899145299145298,60.80957327429209,294931.21198778774,295380.5944872902,263562.1345331136
Howling Gale,CAISO,2028,9,Peak,336,100.0,59.14,58.828711805555564,69.31758552844599,1370162.3920689258,1376632.6921931445,1232413.081210779
Howling Gale,CAISO,2028,9,OffPeak,384,100.0,42.5,15.588789682539682,57.101914843140996,341817.50052864605,343217.06289933575,307353.5107519538
Howling Gale,CAISO,2028,10,Peak,352,100.0,46.49,50.89342355175688,51.69741752125687,926132.6153873526,934208.5216248523,833600.802754531
Howling Gale,CAISO,2028,10,OffPeak,392,100.0,38.32,11.846258077965397,51.488721186322145,239099.88227681007,239208.03196866854,214340.01828551228
Howling Gale,CAISO,2028,11,Peak,352,100.0,44.12,40.63666666666666,54.557014437505224,780389.3539289479,782030.042224277,707694.6211866868
Howling Gale,CAISO,2028,11,OffPeak,368,100.0,38.15,9.99595015576324,58.0879811268141,213677.19954925822,213154.09760415077,191987.9757347108
Howling Gale,CAISO,2028,12,Peak,336,100.0,49.49,31.465448717948718,114.18489536198796,1207207.3337106626,1190490.9531515115,1067661.158760622
Howling Gale,CAISO,2028,12,OffPeak,408,100.0,42.35,7.342912176214785,112.43687523142913,336850.5528785006,338275.6083088345,306713.09184321976
Howling Gale,CAISO,2029,1,Peak,368,100.0,87.82,37.271115384615385,87.34134266700735,1197953.8078232484,1193118.3695396562,1071002.5054859743
Howling Gale,CAISO,2029,1,OffPeak,376,100.0,64.29,10.156842030629608,82.95770665964035,316813.2089837441,316131.42733922694,286188.9627139593
Howling Gale,CAISO,2029,2,Peak,320,100.0,79.89,48.795920138888896,46.82576695661808,731170.0431543547,731283.7806760279,653398.4519724877
Howling Gale,CAISO,2029,2,OffPeak,352,100.0,65.84,10.437446821821823,50.14634952074715,184236.7494638136,184477.73833452782,164900.991210846
Howling Gale,CAISO,2029,3,Peak,352,100.0,42.17,54.644527540360876,37.774367945105475,726585.1963026064,725287.4631708523,658431.9651047299
Howling Gale,CAISO,2029,3,OffPeak,392,100.0,34.67,11.008962571822835,46.82573743981081,202077.0940221691,201867.87738048862,182490.4401021793
Howling Gale,CAISO,2029,4,Peak,336,100.0,41.37,63.917112179487184,33.2533043093586,714152.9411116458,713179.176455429,649278.231432057
Howling Gale,CAISO,2029,4,OffPeak,384,100.0,31.12,14.49873355263158,46.82569171280536,260702.6793836673,257658.13641856337,232365.5656322701
Howling Gale,CAISO,2029,5,Peak,368,100.0,42.5,70.05059615384614,25.91069755752573,667942.0103253392,665824.6395756812,599598.9686879965
Howling Gale,CAISO,2029,5,OffPeak,376,100.0,31.01,18.54545519001702,33.25309187982781,231876.84074546138,230511.06656195782,208187.8836825748
Howling Gale,CAISO,2029,6,Peak,336,100.0,54.39,72.90178525641026,39.12213185146207,958296.6136827741,958592.1282400719,852330.4447676579
Howling Gale,CAISO,2029,6,OffPeak,384,100.0,37.63,16.39139254385965,40.16325803075483,252799.38363741155,248757.47625856526,224211.631203969
Howling Gale,CAISO,2029,7,Peak,352,100.0,69.72,71.14072115384614,70.88334367959565,1775027.6498811496,1757785.790335155,1571516.82720009
Howling Gale,CAISO,2029,7,OffPeak,392,100.0,50.99,19.817505672149746,54.5570128998039,423824.09373818495,419890.3701182561,384109.26893018925
Howling Gale,CAISO,2029,8,Peak,368,100.0,86.06,65.95586419753086,80.56344622862042,1955416.4724963084,1959782.6536039722,1772534.9102080371
Howling Gale,CAISO,2029,8,OffPeak,376,100.0,58.32,12.899145299145298,60.80957327429209,294931.21198778774,295747.7690888909,266667.3795261177
Howling Gale,CAISO,2029,9,Peak,320,100.0,61.47,58.828711805555564,69.31758552844599,1304916.5638751674,1313375.7218879762,1177646.5425948356
Howling Gale,CAISO,2029,9,OffPeak,400,100.0,41.97,15.588789682539682,57.101914843140996,356059.8963840063,353156.7523167995,318501.09572313563
Howling Gale,CAISO,2029,10,Peak,368,100.0,42.43,50.89342355175688,51.69741752125687,968229.5524504142,976373.1461599477,879546.515132812
Howling Gale,CAISO,2029,10,OffPeak,376,100.0,34.77,11.846258077965397,51.488721186322145,229340.70340836886,230575.91472241833,204471.2645767329
Howling Gale,CAISO,2029,11,Peak,352,100.0,40.04,40.63666666666666,54.557014437505224,780389.3539289479,779304.6337045566,700168.4586742169
Howling Gale,CAISO,2029,11,OffPeak,368,100.0,35.34,9.99595015576324,58.0879811268141,213677.19954925822,213885.55897264567,190926.44785603439
Howling Gale,CAISO,2029,12,Peak,336,100.0,44.6,31.465448717948718,114.18489536198796,1207207.3337106626,1211254.2989144456,1091294.2114327434
Howling Gale,CAISO,2029,12,OffPeak,408,100.0,41.59,7.342912176214785,112.43687523142913,336850.5528785006,336586.1659234038,300025.43773065996
Howling Gale,CAISO,2030,1,Peak,368,100.0,77.81,37.271115384615385,87.34134266700735,1197953.8078232484,1203394.3874294346,1079470.2123030124
Howling Gale,CAISO,2030,1,OffPeak,376,100.0,62.01,10.156842030629608,82.95770665964035,316813.2089837441,319959.9317204519,285702.5860855902
Howling Gale,CAISO,2030,2,Peak,320,100.0,81.01,48.795920138888896,46.82576695661808,731170.0431543547,727538.4026704226,654685.8968796709
Howling Gale,CAISO,2030,2,OffPeak,352,100.0,65.52,10.437446821821823,50.14634952074715,184236.7494638136,184208.45660710277,166917.04935031233
Howling Gale,CAISO,2030,3,Peak,336,100.0,42.07,54.644527540360876,37.774367945105475,693558.5964706697,698421.7498086608,623267.3476678443
Howling Gale,CAISO,2030,3,OffPeak,408,100.0,32.74,11.008962571822835,46.82573743981081,210325.1386761352,207470.4789327245,188148.72993867757
Howling Gale,CAISO,2030,4,Peak,352,100.0,38.74,63.917112179487184,33.2533043093586,748160.2240217242,749109.1783446919,674422.1970823355
Howling Gale,CAISO,2030,4,OffPeak,368,100.0,29.38,14.49873355263158,46.82569171280536,249840.06774268116,249365.1773107759,222982.10100429328
Howling Gale,CAISO,2030,5,Peak,368,100.0,46.17,70.05059615384614,25.91069755752573,667942.0103253392,666971.980189923,604289.7542325165
Howling Gale,CAISO,2030,5,OffPeak,376,100.0,30.84,18.54545519001702,33.25309187982781,231876.84074546138,232055.94187671586,210378.83005801815
Howling Gale,CAISO,2030,6,Peak,320,100.0,58.45,72.90178525641026,39.12213185146207,912663.441602642,911507.0593949223,819742.8410932936
Howling Gale,CAISO,2030,6,OffPeak,400,100.0,35.21,16.39139254385965,40.16325803075483,263332.69128897035,259948.88344935235,234532.12114731158
Howling Gale,CAISO,2030,7,Peak,368,100.0,68.72,71.14072115384614,70.88334367959565,1855710.7248757475,1839944.3827563506,1671016.6971807089
Howling Gale,CAISO,2030,7,OffPeak,376,100.0,48.46,19.817505672149746,54.5570128998039,406525.15113662643,402280.11576811504,362587.17855372804
Howling Gale,CAISO,2030,8,Peak,352,100.0,87.21,65.95586419753086,80.56344622862042,1870398.3649964689,1864391.237442079,1670458.0297099692
Howling Gale,CAISO,2030,8,OffPeak,392,100.0,57.24,12.899145299145298,60.80957327429209,307481.4763276936,307096.4269263551,275384.45105914
Howling Gale,CAISO,2030,9,Peak,336,100.0,65.01,58.828711805555564,69.31758552844599,1370162.3920689258,1359363.789523413,1210498.3951361983
Howling Gale,CAISO,2030,9,OffPeak,384,100.0,39.84,15.588789682539682,57.101914843140996,341817.50052864605,343985.15493756474,305350.5809195979
Howling Gale,CAISO,2030,10,Peak,368,100.0,40.58,50.89342355175688,51.69741752125687,968229.5524504142,963170.1896474033,864928.8162428141
Howling Gale,CAISO,2030,10,OffPeak,376,100.0,32.91,11.846258077965397,51.488721186322145,229340.70340836886,229796.07200971432,205380.06660166517
Howling Gale,CAISO,2030,11,Peak,336,100.0,36.06,40.63666666666666,54.557014437505224,744917.1105685412,743695.4351059776,673184.7025820941
Howling Gale,CAISO,2030,11,OffPeak,384,100.0,33.84,9.99595015576324,58.0879811268141,222967.51257313899,222622.59717097826,201489.88875834405
Howling Gale,CAISO,2030,12,Peak,352,100.0,43.55,31.465448717948718,114.18489536198796,1264693.3972206942,1264208.1009544465,1143604.9249496798
Howling Gale,CAISO,2030,12,OffPeak,392,100.0,40.48,7.342912176214785,112.43687523142913,323640.7272754222,321668.6657924203,292134.2473310386
Mantero,MISO,2026,1,Peak,352,71.4,66.38,17.857431457431456,44.23871799880302,278076.435798749,276552.2295631687,249188.823302633
Mantero,MISO,2026,1,OffPeak,392,71.4,59.84,17.770774976657332,32.52446561192967,226570.10417324764,225444.8900761186,201903.0088606752
Mantero,MISO,2026,2,Peak,320,71.4,66.38,26.79023313492063,31.04404826865257,266136.7329820581,269089.37479490717,240727.5941111948
Mantero,MISO,2026,2,OffPeak,352,71.4,59.84,24.380378787878787,24.605135385381406,211158.64732956875,211166.93453291093,188981.2309255664
Mantero,MISO,2026,3,Peak,352,71.4,47.9,23.398632677708765,28.802582082752206,237227.2454900039,237730.35442245984,212518.32421710796
Mantero,MISO,2026,3,OffPeak,392,71.4,37.77,25.841988249200387,23.833403442760172,241433.7924288541,239510.1901970156,214850.20917131938
Mantero,MISO,2026,4,Peak,352,71.4,47.59,14.665607413419915,33.253374066006096,171663.68708672287,172158.75413017534,153336.1421888086
Mantero,MISO,2026,4,OffPeak,368,71.4,36.67,13.335260114734298,24.882327122501174,122106.92803335378,123071.74044176831,110150.65249238326
Mantero,MISO,2026,5,Peak,336,71.4,49.0,21.474260461760462,39.31232737790401,283652.2609102921,285850.4469236921,254764.97463268755
Mantero,MISO,2026,5,OffPeak,408,71.4,37.22,22.408723489395758,24.850375917553457,227201.00263794986,228222.67762480845,202149.87336844543
Mantero,MISO,2026,6,Peak,352,71.4,52.13,19.648143939393936,46.354501234709076,320594.529199429,321477.5761228581,288305.96539718535
Mantero,MISO,2026,6,OffPeak,368,71.4,39.89,23.190336956521737,24.84764767957526,212050.91859399315,213200.74056638687,193410.17644354643
Mantero,MISO,2026,7,Peak,368,71.4,79.1,14.046534090909091,54.0642212216651,279464.6929477936,280183.60136071005,249765.16763785097
Mantero,MISO,2026,7,OffPeak,376,71.4,50.15,20.908227441920165,31.387133024670455,246749.74282713467,245555.5349674794,220162.17670625952
Mantero,MISO,2026,8,Peak,336,71.4,112.37,15.834547924901187,55.823322177641984,297002.85563728795,294439.72979409934,264798.2961297802
Mantero,MISO,2026,8,OffPeak,408,71.4,66.49,20.628111883051094,31.385866149425205,264151.91265853815,261781.8387073762,235088.82169349687
Mantero,MISO,2026,9,Peak,352,71.4,60.22,17.808492063492064,45.91146812067307,287800.1335088969,288952.2400647159,258578.10660460603
Mantero,MISO,2026,9,OffPeak,368,71.4,42.0,14.877815972222223,29.845386199229093,163404.57216506754,163968.5179028426,147547.42561907682
Mantero,MISO,2026,10,Peak,352,71.4,44.56,21.35827510351967,38.236892880639324,287469.2751914746,286132.3121584103,259344.31056474926
Mantero,MISO,2026,10,OffPeak,392,71.4,36.83,18.973457964746185,25.53843332538776,189944.5373444094,187781.96984752693,169380.0086356389
