asset,market,year,month,block,avg_generation_MW,avg_RT_price,avg_DA_price,total_hours,forward_hub,realized_price
Howling Gale,CAISO,2022,1,OffPeak,11.15610465116279,,48.58078779069768,344,,48.58078779069768
Howling Gale,CAISO,2022,1,Peak,32.39775,,52.5029025,400,,52.5029025
Howling Gale,CAISO,2022,2,OffPeak,7.460416666666666,,44.50736458333333,288,,44.50736458333333
Howling Gale,CAISO,2022,2,Peak,43.08307291666667,,42.16082291666667,384,,42.16082291666667
Howling Gale,CAISO,2022,3,OffPeak,8.689067524115757,,42.4543922829582,311,,42.4543922829582
Howling Gale,CAISO,2022,3,Peak,57.10625,,40.941254629629626,432,,40.941254629629626
Howling Gale,CAISO,2022,4,OffPeak,14.579276315789475,,60.26960197368421,304,,60.26960197368421
Howling Gale,CAISO,2022,4,Peak,63.89302884615385,,53.02857211538461,416,,53.02857211538461
Howling Gale,CAISO,2022,5,OffPeak,19.185755813953488,,61.32685174418605,344,,61.32685174418605
Howling Gale,CAISO,2022,5,Peak,64.86525,,57.10192,400,,57.10192
Howling Gale,CAISO,2022,6,OffPeak,15.657894736842104,,64.28148355263158,304,,64.28148355263158
Howling Gale,CAISO,2022,6,Peak,73.271875,,70.88334615384616,416,,70.88334615384616
Howling Gale,CAISO,2022,7,OffPeak,20.73459302325581,,65.14450872093023,344,,65.14450872093023
Howling Gale,CAISO,2022,7,Peak,70.60775,,82.30104250000001,400,,82.30104250000001
Howling Gale,CAISO,2022,8,OffPeak,13.187179487179487,,87.50354487179487,312,,87.50354487179487
Howling Gale,CAISO,2022,8,Peak,69.4988425925926,,113.88415046296296,432,,113.88415046296296
Howling Gale,CAISO,2022,9,OffPeak,14.7940625,,97.623053125,320,,97.623053125
Howling Gale,CAISO,2022,9,Peak,59.93125,,133.891925,400,,133.891925
Howling Gale,CAISO,2022,10,OffPeak,12.503658536585366,,61.0589481707317,328,,61.0589481707317
Howling Gale,CAISO,2022,10,Peak,54.012740384615384,,65.32626923076923,416,,65.32626923076923
Howling Gale,CAISO,2022,11,OffPeak,8.403115264797508,,81.41403115264796,321,,81.41403115264796
Howling Gale,CAISO,2022,11,Peak,39.504,,82.95219499999999,400,,82.95219499999999
Howling Gale,CAISO,2022,12,OffPeak,4.511585365853659,,249.5603993902439,328,,249.5603993902439
